"A_LEMMA","A_SYNSETID","A_TAGCOUNT","A_LEXDOMAINNAME","A_LEXDOMAINID","A_POS","A_SHOWALL","A_DEFINITION","A_SAMPLESET","A_HIDEALL","A_SENSENUM","B_LINKID","D_LINK","C_SYNSETID","C_LEXDOMAINNAME","C_LEXDOMAINID","C_POS","C_SHOWALL","C_DEFINITION","C_SAMPLESET","C_HIDEALL"
"a",114643406,,"noun.substance",27,"n","adenine#1(adenine%1:27:00::),A#4(a%1:27:02::)","(biochemistry) purine base found in DNA and RNA; pairs with thymine in DNA and with uracil in RNA","","adenine,A",4,91,"domain category",106013300,"noun.cognition",9,"n","biochemistry#1(biochemistry%1:09:00::)","the organic chemistry of compounds and processes occurring in organisms; the effort to understand biology within the context of chemistry","","biochemistry"
"midden",108492925,,"noun.location",15,"n","eitchen midden#1(eitchen_midden%1:15:00::),kitchen midden#1(kitchen_midden%1:15:00::),midden#1(midden%1:15:00::)","(archeology) a mound of domestic refuse containing shells and animal bones marking the site of a prehistoric settlement","","eitchen midden,kitchen midden,midden",1,91,"domain category",106077624,"noun.cognition",9,"n","archeology#1(archeology%1:09:00::),archaeology#1(archaeology%1:09:00::)","the branch of anthropology that studies prehistoric people and their cultures","","archeology,archaeology"
"civilisation",108219574,,"noun.group",14,"n","culture#1(culture%1:14:00::),civilisation#2(civilisation%1:14:01::),civilization#3(civilization%1:14:01::)","a particular society at a particular time and place","early Mayan civilization","culture,civilisation,civilization",2,91,"domain category",106077624,"noun.cognition",9,"n","archeology#1(archeology%1:09:00::),archaeology#1(archaeology%1:09:00::)","the branch of anthropology that studies prehistoric people and their cultures","","archeology,archaeology"
"kitchen midden",108492925,,"noun.location",15,"n","eitchen midden#1(eitchen_midden%1:15:00::),kitchen midden#1(kitchen_midden%1:15:00::),midden#1(midden%1:15:00::)","(archeology) a mound of domestic refuse containing shells and animal bones marking the site of a prehistoric settlement","","eitchen midden,kitchen midden,midden",1,91,"domain category",106077624,"noun.cognition",9,"n","archeology#1(archeology%1:09:00::),archaeology#1(archaeology%1:09:00::)","the branch of anthropology that studies prehistoric people and their cultures","","archeology,archaeology"
"base of operations",102793506,,"noun.artifact",6,"n","base of operations#1(base_of_operations%1:06:00::),base#1(base%1:06:04::)","installation from which a military force initiates operations","the attack wiped out our forward bases","base of operations,base",1,91,"domain category",108130774,"noun.group",14,"n","armed forces#1(armed_forces%1:14:00::),armed services#1(armed_services%1:14:00::),war machine#1(war_machine%1:14:00::),military machine#1(military_machine%1:14:00::),military#1(military%1:14:00::)","the military forces of a nation","their military is the largest in the region|the military machine is the same one we faced in 1991 but now it is weaker","armed forces,armed services,war machine,military machine,military"
"break",202033941,1,"verb.motion",38,"v","break#19(break%2:38:10::)","make a rupture in the ranks of the enemy or one's own by quitting or fleeing","The ranks broke","break",19,91,"domain category",108130774,"noun.group",14,"n","armed forces#1(armed_forces%1:14:00::),armed services#1(armed_services%1:14:00::),war machine#1(war_machine%1:14:00::),military machine#1(military_machine%1:14:00::),military#1(military%1:14:00::)","the military forces of a nation","their military is the largest in the region|the military machine is the same one we faced in 1991 but now it is weaker","armed forces,armed services,war machine,military machine,military"
"lieutenant",110193742,41,"noun.person",18,"n","lieutenant#1(lieutenant%1:18:01::)","a commissioned military officer","","lieutenant",1,91,"domain category",108130774,"noun.group",14,"n","armed forces#1(armed_forces%1:14:00::),armed services#1(armed_services%1:14:00::),war machine#1(war_machine%1:14:00::),military machine#1(military_machine%1:14:00::),military#1(military%1:14:00::)","the military forces of a nation","their military is the largest in the region|the military machine is the same one we faced in 1991 but now it is weaker","armed forces,armed services,war machine,military machine,military"
"dunk",201600121,,"verb.contact",35,"v","dunk#2(dunk%2:35:01::)","make a dunk shot, in basketball","He dunked the ball","dunk",2,91,"domain category",100482026,"noun.act",4,"n","basketball#1(basketball%1:04:00::),hoops#1(hoops%1:04:00::),basketball game#1(basketball_game%1:04:00::)","a game played on a court by two opposing teams of 5 players; points are scored by throwing the ball through an elevated horizontal hoop","","basketball,hoops,basketball game"
"punter",110427481,,"noun.person",18,"n","punter#2(punter%1:18:00::)","(football) a person who kicks the football by dropping it from the hands and contacting it with the foot before it hits the ground","","punter",2,91,"domain category",100469577,"noun.act",4,"n","football game#1(football_game%1:04:00::),football#1(football%1:04:00::)","any of various games played with a ball (round or oval) in which two teams try to kick or carry or propel the ball into each other's goal","","football game,football"
"nicene creed",106727117,,"noun.communication",10,"n","Nicene Creed#1(nicene_creed%1:10:00::)","(Christianity) a formal creed summarizing Christian beliefs; first adopted in 325 and later expanded","","Nicene Creed",1,91,"domain category",106160280,"noun.cognition",9,"n","Christianity#1(christianity%1:09:00::),Christian religion#1(christian_religion%1:09:00::)","a monotheistic system of beliefs and practices based on the Old Testament and the teachings of Jesus as embodied in the New Testament and emphasizing the role of Jesus as savior","","Christianity,Christian religion"
"versify",201705893,,"verb.creation",36,"v","poetise#1(poetise%2:36:00::),versify#1(versify%2:36:00::),verse#1(verse%2:36:00::),poetize#1(poetize%2:36:00::)","compose verses or put into verse","He versified the ancient saga","poetise,versify,verse,poetize",1,91,"domain category",107022076,"noun.communication",10,"n","poesy#1(poesy%1:10:02::),verse#1(verse%1:10:02::),poetry#1(poetry%1:10:02::)","literature in metrical form","","poesy,verse,poetry"
"indirect correlation",105966832,,"noun.cognition",9,"n","negative correlation#1(negative_correlation%1:09:00::),indirect correlation#1(indirect_correlation%1:09:00::)","a correlation in which large values of one variable are associated with small values of the other; the correlation coefficient is between 0 and -1","","negative correlation,indirect correlation",1,91,"domain category",105951944,"noun.cognition",9,"n","statistics#1(statistics%1:09:00::)","a branch of applied mathematics concerned with the collection and interpretation of quantitative data and the use of probability theory to estimate population parameters","","statistics"
"fourfold point correlation",105969073,,"noun.cognition",9,"n","fourfold point correlation#1(fourfold_point_correlation%1:09:00::),phi correlation#1(phi_correlation%1:09:00::),phi coefficient#1(phi_coefficient%1:09:00::)","an index of the relation between any two sets of scores that can both be represented on ordered binary dimensions (e.g., male-female)","","fourfold point correlation,phi correlation,phi coefficient",1,91,"domain category",105951944,"noun.cognition",9,"n","statistics#1(statistics%1:09:00::)","a branch of applied mathematics concerned with the collection and interpretation of quantitative data and the use of probability theory to estimate population parameters","","statistics"
"polyvalence",114508821,,"noun.state",26,"n","multivalence#1(multivalence%1:26:00::),polyvalency#1(polyvalency%1:26:00::),polyvalence#1(polyvalence%1:26:00::),multivalency#1(multivalency%1:26:00::)","(chemistry) the state of having a valence greater than two","","multivalence,polyvalency,polyvalence,multivalency",1,91,"domain category",106018187,"noun.cognition",9,"n","chemistry#1(chemistry%1:09:00::),chemical science#1(chemical_science%1:09:00::)","the science of matter; the branch of the natural sciences dealing with the composition of substances and their properties and reactions","","chemistry,chemical science"
"ham",201754483,,"verb.creation",36,"v","ham#1(ham%2:36:00::),overact#1(overact%2:36:00::),overplay#1(overplay%2:36:00::),ham it up#1(ham_it_up%2:36:00::)","exaggerate one's acting","","ham,overact,overplay,ham it up",1,91,"domain category",106934091,"noun.communication",10,"n","dramatic art#1(dramatic_art%1:10:00::),dramaturgy#1(dramaturgy%1:10:00::),theatre#2(theatre%1:10:00::),theater#2(theater%1:10:00::),dramatics#2(dramatics%1:10:00::)","the art of writing and producing plays","","dramatic art,dramaturgy,theatre,theater,dramatics"
"microwave",200322737,,"verb.change",30,"v","micro-cook#1(micro-cook%2:30:00::),microwave#1(microwave%2:30:00::),nuke#3(nuke%2:30:04::),zap#4(zap%2:30:00::)","cook or heat in a microwave oven","You can microwave the leftovers","micro-cook,microwave,nuke,zap",1,91,"domain category",100244807,"noun.act",4,"n","cookery#1(cookery%1:04:00::),cooking#1(cooking%1:04:00::),preparation#8(preparation%1:04:03::)","the act of preparing something (as food) by the application of heat","people are needed who have experience in cookery|he left the preparation of meals to his wife|cooking can be a great art","cookery,cooking,preparation"
"miniate",201700308,,"verb.creation",36,"v","miniate#1(miniate%2:36:00::)","paint with red lead or vermilion","","miniate",1,91,"domain category",100935219,"noun.act",4,"n","artistic creation#1(artistic_creation%1:04:00::),artistic production#1(artistic_production%1:04:00::),art#2(art%1:04:00::)","the creation of beautiful or significant things","art does not need to be innovative to be good|I was never any good at art|he said that architecture is the art of wasting space beautifully","artistic creation,artistic production,art"
"reticulation",113486761,,"noun.process",22,"n","reticulation#1(reticulation%1:22:00::)","(photography) the formation of a network of cracks or wrinkles in a photographic emulsion","","reticulation",1,91,"domain category",100905241,"noun.act",4,"n","photography#1(photography%1:04:00::),picture taking#1(picture_taking%1:04:00::)","the act of taking and printing photographs","","photography,picture taking"
"dominic",110873061,,"noun.person",18,"n","Domingo de Guzman#1(domingo_de_guzman%1:18:00::),St. Dominic#1(st._dominic%1:18:00::),Saint Dominic#1(saint_dominic%1:18:00::),Dominic#1(dominic%1:18:00::)","(Roman Catholic Church) Spanish priest who founded an order whose members became known as Dominicans or Black Friars (circa 1170-1221)","","Domingo de Guzman,St. Dominic,Saint Dominic,Dominic",1,91,"domain category",108015285,"noun.group",14,"n","Church of Rome#1(church_of_rome%1:14:00::),Roman Catholic Church#1(roman_catholic_church%1:14:00::),Western Church#1(western_church%1:14:00::),Roman Church#1(roman_church%1:14:00::),Roman Catholic#2(roman_catholic%1:14:00::)","the Christian Church based in the Vatican and presided over by a pope and an episcopal hierarchy","","Church of Rome,Roman Catholic Church,Western Church,Roman Church,Roman Catholic"
"articulation",105526968,,"noun.body",8,"n","articulatio#1(articulatio%1:08:00::),joint#1(joint%1:08:00::),articulation#4(articulation%1:08:00::)","(anatomy) the point of connection between two bones or elements of a skeleton (especially if it allows motion)","","articulatio,joint,articulation",4,91,"domain category",105991200,"noun.cognition",9,"n","general anatomy#1(general_anatomy%1:09:00::),anatomy#1(anatomy%1:09:00::)","the branch of morphology that deals with the structure of animals","","general anatomy,anatomy"
"septum",105154363,6,"noun.body",8,"n","septum#1(septum%1:08:00::)","(anatomy) a dividing partition between two tissues or cavities","","septum",1,91,"domain category",105991200,"noun.cognition",9,"n","general anatomy#1(general_anatomy%1:09:00::),anatomy#1(anatomy%1:09:00::)","the branch of morphology that deals with the structure of animals","","general anatomy,anatomy"
"colour",105777320,,"noun.cognition",9,"n","colour#2(colour%1:09:01::),color#6(color%1:09:01::)","(physics) the characteristic of quarks that determines their role in the strong interaction","each flavor of quarks comes in three colors","colour,color",2,91,"domain category",106035288,"noun.cognition",9,"n","high energy physics#1(high_energy_physics%1:09:00::),particle physics#1(particle_physics%1:09:00::),high-energy physics#1(high-energy_physics%1:09:00::)","the branch of physics that studies subatomic particles and their interactions","","high energy physics,particle physics,high-energy physics"
"taret organ",105448011,,"noun.body",8,"n","taret organ#1(taret_organ%1:08:01::)","(endocrinology) organ most affected by a particular hormone","","taret organ",1,91,"domain category",105983511,"noun.cognition",9,"n","endocrinology#1(endocrinology%1:09:00::)","the branch of medicine dealing with the endocrine glands and their secretions","","endocrinology"
"theia",109514095,,"noun.person",18,"n","Theia#1(theia%1:18:00::),Thea#1(thea%1:18:00::)","(Greek mythology) the Titaness who was mother of Helios and Selene and Eos in ancient mythology","","Theia,Thea",1,91,"domain category",107910503,"noun.group",14,"n","Greek mythology#1(greek_mythology%1:14:00::)","the mythology of the ancient Greeks","","Greek mythology"
"mutation",110276088,,"noun.person",18,"n","mutant#1(mutant%1:18:00::),mutation#1(mutation%1:18:00::),sport#6(sport%1:18:01::),variation#9(variation%1:18:00::)","(biology) an organism that has characteristics resulting from chromosomal alteration","","mutant,mutation,sport,variation",1,91,"domain category",105971308,"noun.cognition",9,"n","biology#1(biology%1:09:00::),biological science#1(biological_science%1:09:00::)","the science that studies living organisms","","biology,biological science"
"lasting",301763023,,"adj.all",0,"a","persistent#3(persistent%3:00:00::),lasting#3(lasting%3:00:06::)","retained; not shed","the persistent gills of fishes|persistent leaves remain attached past maturity","persistent,lasting",3,91,"domain category",105971308,"noun.cognition",9,"n","biology#1(biology%1:09:00::),biological science#1(biological_science%1:09:00::)","the science that studies living organisms","","biology,biological science"
"parthenocarpy",113468362,,"noun.process",22,"n","parthenocarpy#1(parthenocarpy%1:22:00::)","(botany) the development of a fruit without fertilization or seeds","","parthenocarpy",1,91,"domain category",106000235,"noun.cognition",9,"n","phytology#1(phytology%1:09:00::),botany#2(botany%1:09:00::)","the branch of biology that studies plants","","phytology,botany"
"leafing",113419196,,"noun.process",22,"n","leafing#1(leafing%1:22:00::),foliation#1(foliation%1:22:01::)","(botany) the process of forming leaves","","leafing,foliation",1,91,"domain category",106000235,"noun.cognition",9,"n","phytology#1(phytology%1:09:00::),botany#2(botany%1:09:00::)","the branch of biology that studies plants","","phytology,botany"
"al qanoon",107962273,,"noun.group",14,"n","Lashkar-e-Omar#1(lashkar-e-omar%1:14:00::),Al Qanoon#1(al_qanoon%1:14:00::)","a terrorist organization formed in Pakistan in 2002 as a coalition of extremist Islamic militant groups including Lashkar-e-Taiba and Lashkar-e-Jhangvi and Jaish-e-Muhammad and elements of al-Qaeda","","Lashkar-e-Omar,Al Qanoon",1,91,"domain category",100761031,"noun.act",4,"n","act of terrorism#1(act_of_terrorism%1:04:00::),terrorist act#1(terrorist_act%1:04:00::),terrorism#1(terrorism%1:04:00::)","the calculated use of violence (or the threat of violence) against civilians in order to attain goals that are political or religious or ideological in nature; this is done through intimidation or coercion or instilling fear","","act of terrorism,terrorist act,terrorism"
"ku klux klan",107960983,1,"noun.group",14,"n","Ku Klux Klan#1(ku_klux_klan%1:14:00::),Klan#1(klan%1:14:00::),KKK#1(kkk%1:14:00::)","a secret society of white Southerners in the United States; was formed in the 19th century to resist the emancipation of slaves; used terrorist tactics to suppress Black people","","Ku Klux Klan,Klan,KKK",1,91,"domain category",100761031,"noun.act",4,"n","act of terrorism#1(act_of_terrorism%1:04:00::),terrorist act#1(terrorist_act%1:04:00::),terrorism#1(terrorism%1:04:00::)","the calculated use of violence (or the threat of violence) against civilians in order to attain goals that are political or religious or ideological in nature; this is done through intimidation or coercion or instilling fear","","act of terrorism,terrorist act,terrorism"
"bioterrorism",100764469,,"noun.act",4,"n","bioterrorism#1(bioterrorism%1:04:00::),biological terrorism#1(biological_terrorism%1:04:00::)","terrorism using the weapons of biological warfare","","bioterrorism,biological terrorism",1,91,"domain category",100761031,"noun.act",4,"n","act of terrorism#1(act_of_terrorism%1:04:00::),terrorist act#1(terrorist_act%1:04:00::),terrorism#1(terrorism%1:04:00::)","the calculated use of violence (or the threat of violence) against civilians in order to attain goals that are political or religious or ideological in nature; this is done through intimidation or coercion or instilling fear","","act of terrorism,terrorist act,terrorism"
"lautaro youth movement",107963225,,"noun.group",14,"n","Lautaro Faction of the United Popular Action Movement#1(lautaro_faction_of_the_united_popular_action_movement%1:14:00::),Lautaro Youth Movement#1(lautaro_youth_movement%1:14:00::),Lautaro Popular Rebel Forces#1(lautaro_popular_rebel_forces%1:14:00::)","a violent terrorist group organized in the 1980s and advocating the overthrow of the Chilean military government; leaders are mainly criminals or impoverished youths","","Lautaro Faction of the United Popular Action Movement,Lautaro Youth Movement,Lautaro Popular Rebel Forces",1,91,"domain category",100761031,"noun.act",4,"n","act of terrorism#1(act_of_terrorism%1:04:00::),terrorist act#1(terrorist_act%1:04:00::),terrorism#1(terrorism%1:04:00::)","the calculated use of violence (or the threat of violence) against civilians in order to attain goals that are political or religious or ideological in nature; this is done through intimidation or coercion or instilling fear","","act of terrorism,terrorist act,terrorism"
"al-itihaad al-islamiya",107943925,,"noun.group",14,"n","AIAI#1(aiai%1:14:00::),Islamic Unity#1(islamic_unity%1:14:00::),al-Itihaad al-Islamiya#1(al-itihaad_al-islamiya%1:14:00::),al Itihaad al Islamiya#1(al_itihaad_al_islamiya%1:14:00::)","a fundamentalist Islamic group in Somalia who initially did fundraising for al-Qaeda; responsible for ambushing United States Army Rangers and for terrorist bombings in Ethiopia; believed to have branches in several countries","","AIAI,Islamic Unity,al-Itihaad al-Islamiya,al Itihaad al Islamiya",1,91,"domain category",100761031,"noun.act",4,"n","act of terrorism#1(act_of_terrorism%1:04:00::),terrorist act#1(terrorist_act%1:04:00::),terrorism#1(terrorism%1:04:00::)","the calculated use of violence (or the threat of violence) against civilians in order to attain goals that are political or religious or ideological in nature; this is done through intimidation or coercion or instilling fear","","act of terrorism,terrorist act,terrorism"
"3rd october organization",107947947,,"noun.group",14,"n","3rd October Organization#1(3rd_october_organization%1:14:00::),Orly Group#1(orly_group%1:14:00::),ASALA#1(asala%1:14:00::),Armenian Secret Army for the Liberation of Armenia#1(armenian_secret_army_for_the_liberation_of_armenia%1:14:00::)","a militant Marxist-Leninist terrorist organization formed in 1975 to force Turkey to acknowledge killing more than a million Armenians and forcibly removing them from border areas in 1915; wants Turkey to pay reparations and cede territory to Armenia","ASALA bombing at Orly Airport in Paris in 1983 killed 8 and wounded 55 people","3rd October Organization,Orly Group,ASALA,Armenian Secret Army for the Liberation of Armenia",1,91,"domain category",100761031,"noun.act",4,"n","act of terrorism#1(act_of_terrorism%1:04:00::),terrorist act#1(terrorist_act%1:04:00::),terrorism#1(terrorism%1:04:00::)","the calculated use of violence (or the threat of violence) against civilians in order to attain goals that are political or religious or ideological in nature; this is done through intimidation or coercion or instilling fear","","act of terrorism,terrorist act,terrorism"
"idempotent",300356564,,"adj.all",0,"s","idempotent#1(idempotent%5:00:00:unchanged:00)","unchanged in value following multiplication by itself","this matrix is idempotent","idempotent",1,91,"domain category",105933952,"noun.cognition",9,"n","math#1(math%1:09:00::),maths#1(maths%1:09:00::),mathematics#1(mathematics%1:09:00::)","a science (or group of related sciences) dealing with the logic of quantity and shape and arrangement","","math,maths,mathematics"
"hair space",103453326,,"noun.artifact",6,"n","hair space#1(hair_space%1:06:00::)","(printing) the narrowest of the spaces used to separate words or letters","","hair space",1,91,"domain category",106613290,"noun.communication",10,"n","printing process#1(printing_process%1:10:00::),printing#3(printing%1:10:00::)","reproduction by applying ink to paper as for publication","","printing process,printing"
"active",300042258,,"adj.all",0,"a","active#10(active%3:00:09::)","expressing that the subject of the sentence has the semantic function of actor:","Hemingway favors active constructions","active",10,91,"domain category",106108231,"noun.cognition",9,"n","grammar#1(grammar%1:09:00::)","the branch of linguistics that deals with syntax and morphology (and sometimes also deals with semantics)","","grammar"
"by-bid",202303340,,"verb.possession",40,"v","by-bid#1(by-bid%2:40:00::)","bid on behalf of someone else","","by-bid",1,91,"domain category",100093204,"noun.act",4,"n","auction sale#1(auction_sale%1:04:00::),vendue#1(vendue%1:04:00::),auction#2(auction%1:04:00::)","the public sale of something to the highest bidder","","auction sale,vendue,auction"
"bogey",113531460,,"noun.quantity",23,"n","bogey#2(bogey%1:23:00::)","(golf) a score of one stroke over par on a hole","","bogey",2,91,"domain category",100465984,"noun.act",4,"n","golf game#1(golf_game%1:04:00::),golf#1(golf%1:04:00::)","a game played on a large open course with 9 or 18 holes; the object is use as few strokes as possible in playing all the holes","","golf game,golf"
"links course",103423276,,"noun.artifact",6,"n","links course#1(links_course%1:06:00::),golf course#1(golf_course%1:06:00::)","course consisting of a large landscaped area for playing golf","","links course,golf course",1,91,"domain category",100465984,"noun.act",4,"n","golf game#1(golf_game%1:04:00::),golf#1(golf%1:04:00::)","a game played on a large open course with 9 or 18 holes; the object is use as few strokes as possible in playing all the holes","","golf game,golf"
"fagot",201289906,,"verb.contact",35,"v","fagot#2(fagot%2:35:01::),faggot#2(faggot%2:35:01::)","fasten together rods of iron in order to heat or weld them","","fagot,faggot",2,91,"domain category",106059279,"noun.cognition",9,"n","metallurgy#1(metallurgy%1:09:00::)","the science and technology of metals","","metallurgy"
"foreground",103361053,,"noun.artifact",6,"n","foreground#2(foreground%1:06:00::)","(computer science) a window for an active application","","foreground",2,91,"domain category",106062151,"noun.cognition",9,"n","computing#1(computing%1:09:00::),computer science#1(computer_science%1:09:00::)","the branch of engineering science that studies (with the aid of computers) computable processes and structures","","computing,computer science"
"package",106502264,,"noun.communication",10,"n","computer software#1(computer_software%1:10:00::),software#1(software%1:10:00::),software system#1(software_system%1:10:00::),software package#1(software_package%1:10:00::),software program#1(software_program%1:10:00::),package#3(package%1:10:00::)","(computer science) written programs or procedures or rules and associated documentation pertaining to the operation of a computer system and that are stored in read/write memory","the market for software is expected to expand","computer software,software,software system,software package,software program,package",3,91,"domain category",106062151,"noun.cognition",9,"n","computing#1(computing%1:09:00::),computer science#1(computer_science%1:09:00::)","the branch of engineering science that studies (with the aid of computers) computable processes and structures","","computing,computer science"
"dithered color",104909940,,"noun.attribute",7,"n","dithered color#1(dithered_color%1:07:00::),nonsolid colour#1(nonsolid_colour%1:07:00::),nonsolid color#1(nonsolid_color%1:07:00::),dithered colour#1(dithered_colour%1:07:00::)","a color produced by a pattern of differently colored dots that together simulate the desired color","","dithered color,nonsolid colour,nonsolid color,dithered colour",1,91,"domain category",106062151,"noun.cognition",9,"n","computing#1(computing%1:09:00::),computer science#1(computer_science%1:09:00::)","the branch of engineering science that studies (with the aid of computers) computable processes and structures","","computing,computer science"
"dial",200792110,3,"verb.communication",32,"v","dial#1(dial%2:32:00::)","operate a dial to select a telephone number","You must take the receiver off the hook before you dial","dial",1,91,"domain category",106207094,"noun.communication",10,"n","telephony#1(telephony%1:10:00::),telephone#2(telephone%1:10:00::)","transmitting speech at a distance","","telephony,telephone"
"promote",201082894,,"verb.competition",33,"v","promote#4(promote%2:33:01::)","be changed for a superior chess or checker piece","","promote",4,91,"domain category",100503448,"noun.act",4,"n","board game#1(board_game%1:04:00::)","a game played on a specially designed board","","board game"
"link",201494078,,"verb.contact",35,"v","yoke#2(yoke%2:35:01::),link#4(link%2:35:02::)","link with or as with a yoke","yoke the oxen together","yoke,link",4,91,"domain category",100919026,"noun.act",4,"n","animal husbandry#1(animal_husbandry%1:04:00::)","breeding and caring for farm animals","","animal husbandry"
"portray",201727087,2,"verb.creation",36,"v","impersonate#1(impersonate%2:36:00::),portray#3(portray%2:36:01::)","assume or act the character of","She impersonates Madonna|The actor portrays an elderly, lonely man","impersonate,portray",3,91,"domain category",106091134,"noun.cognition",9,"n","performing arts#1(performing_arts%1:09:00::)","arts or skills that require public performance","","performing arts"
"ganof",110067723,,"noun.person",18,"n","gonif#1(gonif%1:18:00::),ganof#1(ganof%1:18:00::),ganef#1(ganef%1:18:00::),goniff#1(goniff%1:18:00::)","(Yiddish) a thief or dishonest person or scoundrel (often used as a general term of abuse)","","gonif,ganof,ganef,goniff",1,91,"domain category",106878606,"noun.communication",10,"n","Yiddish#1(yiddish%1:10:00::)","a dialect of High German including some Hebrew and other words; spoken in Europe as a vernacular by many Jews; written in the Hebrew script","","Yiddish"
"nudnik",110300242,,"noun.person",18,"n","nudnik#1(nudnik%1:18:00::),nudnick#1(nudnick%1:18:00::)","(Yiddish) someone who is a boring pest","","nudnik,nudnick",1,91,"domain category",106878606,"noun.communication",10,"n","Yiddish#1(yiddish%1:10:00::)","a dialect of High German including some Hebrew and other words; spoken in Europe as a vernacular by many Jews; written in the Hebrew script","","Yiddish"
